GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0048560	establishment of anatomical structure or...	2	1	0,01	0.0053
GO:0048561	establishment of organ orientation	2	1	0,01	0.0053
GO:0070584	mitochondrion morphogenesis	2	1	0,01	0.0053
GO:0006120	mitochondrial electron transport, NADH t...	5	1	0,01	0.0131
GO:0006119	oxidative phosphorylation	6	1	0,02	0.0158
GO:0010259	multicellular organismal aging	6	1	0,02	0.0158
GO:0042773	ATP synthesis coupled electron transport	6	1	0,02	0.0158
GO:0042775	mitochondrial ATP synthesis coupled elec...	6	1	0,02	0.0158
GO:0044255	cellular lipid metabolic process	86	2	0,23	0.0177
GO:0022900	electron transport chain	9	1	0,02	0.0236
GO:0022904	respiratory electron transport chain	9	1	0,02	0.0236
GO:0072358	cardiovascular system development	102	2	0,27	0.0246
GO:0072359	circulatory system development	102	2	0,27	0.0246
GO:0006687	glycosphingolipid metabolic process	10	1	0,03	0.0262
GO:0009798	axis specification	10	1	0,03	0.0262
GO:0006629	lipid metabolic process	107	2	0,28	0.0270
GO:0006664	glycolipid metabolic process	14	1	0,04	0.0365
GO:0045333	cellular respiration	14	1	0,04	0.0365
GO:0006665	sphingolipid metabolic process	15	1	0,04	0.0390
GO:0035264	multicellular organism growth	18	1	0,05	0.0467
GO:0006643	membrane lipid metabolic process	20	1	0,05	0.0518
GO:0007568	aging	26	1	0,07	0.0669
GO:0061458	reproductive system development	27	1	0,07	0.0694
GO:0006631	fatty acid metabolic process	31	1	0,08	0.0794
GO:0007005	mitochondrion organization	33	1	0,09	0.0844
GO:0015980	energy derivation by oxidation of organi...	33	1	0,09	0.0844
GO:0043687	post-translational protein modification	33	1	0,09	0.0844
GO:0006936	muscle contraction	36	1	0,09	0.0917
GO:0006091	generation of precursor metabolites and ...	40	1	0,11	0.1015
GO:0003012	muscle system process	43	1	0,11	0.1088
GO:0032787	monocarboxylic acid metabolic process	44	1	0,12	0.1112
GO:0007389	pattern specification process	45	1	0,12	0.1137
GO:0009653	anatomical structure morphogenesis	233	2	0,61	0.1141
GO:0055114	oxidation-reduction process	55	1	0,15	0.1375
GO:0007507	heart development	56	1	0,15	0.1399
GO:0044281	small molecule metabolic process	282	2	0,74	0.1595
GO:0006412	translation	65	1	0,17	0.1609
GO:0019752	carboxylic acid metabolic process	86	1	0,23	0.2085
GO:0032990	cell part morphogenesis	86	1	0,23	0.2085
GO:0009887	organ morphogenesis	93	1	0,25	0.2239
GO:0040007	growth	94	1	0,25	0.2261
GO:0006082	organic acid metabolic process	100	1	0,26	0.2391
GO:0043436	oxoacid metabolic process	100	1	0,26	0.2391
GO:0044267	cellular protein metabolic process	398	2	1,05	0.2829
GO:0032989	cellular component morphogenesis	126	1	0,33	0.2935
GO:0048731	system development	426	2	1,12	0.3149
GO:0003008	system process	154	1	0,41	0.3488
GO:0019538	protein metabolic process	470	2	1,24	0.3660
GO:0007275	multicellular organismal development	475	2	1,25	0.3718
GO:0048856	anatomical structure development	475	2	1,25	0.3718
GO:0044710	single-organism metabolic process	484	2	1,28	0.3824
GO:1902589	single-organism organelle organization	173	1	0,46	0.3844
GO:1901135	carbohydrate derivative metabolic proces...	180	1	0,47	0.3972
GO:0016310	phosphorylation	186	1	0,49	0.4079
GO:0044767	single-organism developmental process	519	2	1,37	0.4234
GO:0032502	developmental process	522	2	1,38	0.4270
GO:0044237	cellular metabolic process	869	3	2,29	0.4293
GO:1901564	organonitrogen compound metabolic proces...	201	1	0,53	0.4342
GO:0044238	primary metabolic process	877	3	2,31	0.4383
GO:0071704	organic substance metabolic process	906	3	2,39	0.4710
GO:0044707	single-multicellular organism process	593	2	1,56	0.5096
GO:0032501	multicellular organismal process	611	2	1,61	0.5302
GO:0006996	organelle organization	268	1	0,71	0.5411
GO:0008152	metabolic process	973	3	2,57	0.5484
GO:0048513	organ development	283	1	0,75	0.5628
GO:0006796	phosphate-containing compound metabolic ...	303	1	0,8	0.5905
GO:0006793	phosphorus metabolic process	309	1	0,82	0.5986
GO:0044260	cellular macromolecule metabolic process	673	2	1,78	0.5992
GO:0006464	cellular protein modification process	310	1	0,82	0.5999
GO:0036211	protein modification process	310	1	0,82	0.5999
GO:0048869	cellular developmental process	314	1	0,83	0.6052
GO:0043412	macromolecule modification	320	1	0,84	0.6130
GO:0043170	macromolecule metabolic process	752	2	1,98	0.6818
GO:0034645	cellular macromolecule biosynthetic proc...	386	1	1,02	0.6917
GO:0009059	macromolecule biosynthetic process	398	1	1,05	0.7046
GO:0044249	cellular biosynthetic process	472	1	1,25	0.7755
GO:1901576	organic substance biosynthetic process	474	1	1,25	0.7772
GO:0009058	biosynthetic process	478	1	1,26	0.7806
GO:0010467	gene expression	480	1	1,27	0.7823
GO:0016043	cellular component organization	504	1	1,33	0.8018
GO:0071840	cellular component organization or bioge...	517	1	1,36	0.8118
GO:0006807	nitrogen compound metabolic process	573	1	1,51	0.8507
GO:0044699	single-organism process	1248	3	3,29	0.8540
GO:0009987	cellular process	1342	3	3,54	0.9328
GO:0044763	single-organism cellular process	1122	2	2,96	0.9437
GO:0008150	biological_process	1496	4	3,95	0.9482
GO:0000003	reproduction	115	0	0,3	1.0000
GO:0000018	regulation of DNA recombination	12	0	0,03	1.0000
GO:0000019	regulation of mitotic recombination	2	0	0,01	1.0000
GO:0000028	ribosomal small subunit assembly	2	0	0,01	1.0000
GO:0000038	very long-chain fatty acid metabolic pro...	4	0	0,01	1.0000
GO:0000041	transition metal ion transport	14	0	0,04	1.0000
GO:0000042	protein targeting to Golgi	1	0	0	1.0000
GO:0000045	autophagic vacuole assembly	2	0	0,01	1.0000
GO:0000050	urea cycle	1	0	0	1.0000
GO:0000060	protein import into nucleus, translocati...	5	0	0,01	1.0000
GO:0000070	mitotic sister chromatid segregation	7	0	0,02	1.0000
GO:0000075	cell cycle checkpoint	22	0	0,06	1.0000
GO:0000076	DNA replication checkpoint	1	0	0	1.0000
GO:0000077	DNA damage checkpoint	13	0	0,03	1.0000
GO:0000079	regulation of cyclin-dependent protein s...	13	0	0,03	1.0000
GO:0000080	mitotic G1 phase	1	0	0	1.0000
GO:0000082	G1/S transition of mitotic cell cycle	16	0	0,04	1.0000
GO:0000084	mitotic S phase	1	0	0	1.0000
GO:0000086	G2/M transition of mitotic cell cycle	12	0	0,03	1.0000
GO:0000096	sulfur amino acid metabolic process	6	0	0,02	1.0000
GO:0000097	sulfur amino acid biosynthetic process	4	0	0,01	1.0000
GO:0000098	sulfur amino acid catabolic process	2	0	0,01	1.0000
