GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0048561	establishment of organ orientation	2	1	0	0.00054
GO:0048560	establishment of anatomical structure or...	3	1	0	0.00081
GO:0070584	mitochondrion morphogenesis	15	1	0	0.00403
GO:0010259	multicellular organismal aging	30	1	0,01	0.00806
GO:0006120	mitochondrial electron transport, NADH t...	39	1	0,01	0.01046
GO:0042773	ATP synthesis coupled electron transport	50	1	0,01	0.01340
GO:0042775	mitochondrial ATP synthesis coupled elec...	50	1	0,01	0.01340
GO:0006687	glycosphingolipid metabolic process	62	1	0,02	0.01660
GO:0006119	oxidative phosphorylation	64	1	0,02	0.01713
GO:0072358	cardiovascular system development	826	2	0,22	0.01720
GO:0072359	circulatory system development	826	2	0,22	0.01720
GO:0044255	cellular lipid metabolic process	880	2	0,24	0.01942
GO:0009798	axis specification	78	1	0,02	0.02085
GO:0022904	respiratory electron transport chain	100	1	0,03	0.02667
GO:0006664	glycolipid metabolic process	101	1	0,03	0.02693
GO:0022900	electron transport chain	102	1	0,03	0.02720
GO:0006665	sphingolipid metabolic process	125	1	0,03	0.03325
GO:0006629	lipid metabolic process	1191	2	0,32	0.03457
GO:0035264	multicellular organism growth	142	1	0,04	0.03771
GO:0045333	cellular respiration	154	1	0,04	0.04084
GO:0006643	membrane lipid metabolic process	166	1	0,04	0.04397
GO:0043687	post-translational protein modification	211	1	0,06	0.05564
GO:0007568	aging	218	1	0,06	0.05745
GO:0006936	muscle contraction	282	1	0,08	0.07383
GO:0061458	reproductive system development	287	1	0,08	0.07510
GO:0007005	mitochondrion organization	295	1	0,08	0.07713
GO:0006631	fatty acid metabolic process	321	1	0,09	0.08371
GO:0015980	energy derivation by oxidation of organi...	324	1	0,09	0.08447
GO:0003012	muscle system process	325	1	0,09	0.08472
GO:0006091	generation of precursor metabolites and ...	410	1	0,11	0.10596
GO:0009653	anatomical structure morphogenesis	2192	2	0,59	0.10640
GO:0007507	heart development	417	1	0,11	0.10769
GO:0007389	pattern specification process	445	1	0,12	0.11460
GO:0032787	monocarboxylic acid metabolic process	458	1	0,12	0.11779
GO:0006412	translation	489	1	0,13	0.12536
GO:0055114	oxidation-reduction process	558	1	0,15	0.14206
GO:0044281	small molecule metabolic process	2808	2	0,76	0.16426
GO:0032990	cell part morphogenesis	755	1	0,2	0.18839
GO:0009887	organ morphogenesis	812	1	0,22	0.20144
GO:0040007	growth	835	1	0,22	0.20667
GO:0019752	carboxylic acid metabolic process	902	1	0,24	0.22173
GO:0044267	cellular protein metabolic process	3448	2	0,93	0.23203
GO:0043436	oxoacid metabolic process	1014	1	0,27	0.24643
GO:0006082	organic acid metabolic process	1031	1	0,28	0.25013
GO:0048731	system development	3692	2	0,99	0.25938
GO:0032989	cellular component morphogenesis	1104	1	0,3	0.26585
GO:0019538	protein metabolic process	4141	2	1,12	0.31122
GO:0007275	multicellular organismal development	4267	2	1,15	0.32604
GO:0003008	system process	1398	1	0,38	0.32668
GO:0048856	anatomical structure development	4321	2	1,16	0.33241
GO:0016310	phosphorylation	1529	1	0,41	0.35253
GO:1901135	carbohydrate derivative metabolic proces...	1578	1	0,43	0.36200
GO:1902589	single-organism organelle organization	1673	1	0,45	0.38008
GO:0044710	single-organism metabolic process	4728	2	1,27	0.38084
GO:0044767	single-organism developmental process	4838	2	1,3	0.39400
GO:0032502	developmental process	4889	2	1,32	0.40010
GO:1901564	organonitrogen compound metabolic proces...	1936	1	0,52	0.42811
