GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0000315	organellar large ribosomal subunit	15	1	0	0.0044
GO:0005762	mitochondrial large ribosomal subunit	15	1	0	0.0044
GO:0005747	mitochondrial respiratory chain complex ...	39	1	0,01	0.0115
GO:0030964	NADH dehydrogenase complex	39	1	0,01	0.0115
GO:0045271	respiratory chain complex I	39	1	0,01	0.0115
GO:0000313	organellar ribosome	53	1	0,02	0.0156
GO:0005761	mitochondrial ribosome	53	1	0,02	0.0156
GO:0005746	mitochondrial respiratory chain	62	1	0,02	0.0182
GO:0044429	mitochondrial part	788	2	0,23	0.0198
GO:0070469	respiratory chain	69	1	0,02	0.0203
GO:0015934	large ribosomal subunit	74	1	0,02	0.0217
GO:1990204	oxidoreductase complex	80	1	0,02	0.0235
GO:0044391	ribosomal subunit	132	1	0,04	0.0385
GO:0044455	mitochondrial membrane part	145	1	0,04	0.0422
GO:0005788	endoplasmic reticulum lumen	181	1	0,05	0.0525
GO:0005840	ribosome	201	1	0,06	0.0581
GO:0005739	mitochondrion	1520	2	0,45	0.0674
GO:0005759	mitochondrial matrix	314	1	0,09	0.0896
GO:0005743	mitochondrial inner membrane	355	1	0,11	0.1008
GO:0019866	organelle inner membrane	389	1	0,12	0.1100
GO:0031966	mitochondrial membrane	516	1	0,15	0.1438
GO:0005740	mitochondrial envelope	546	1	0,16	0.1516
GO:0030529	ribonucleoprotein complex	600	1	0,18	0.1656
GO:0070013	intracellular organelle lumen	2728	2	0,81	0.1865
GO:0043233	organelle lumen	2787	2	0,83	0.1932
GO:0031974	membrane-enclosed lumen	2841	2	0,84	0.1994
GO:1902494	catalytic complex	769	1	0,23	0.2080
GO:0031967	organelle envelope	865	1	0,26	0.2313
GO:0031975	envelope	871	1	0,26	0.2327
GO:0044432	endoplasmic reticulum part	954	1	0,28	0.2524
GO:0044446	intracellular organelle part	6398	3	1,9	0.2819
GO:0043231	intracellular membrane-bounded organelle	9688	4	2,87	0.2934
GO:0044422	organelle part	6575	3	1,95	0.2995
GO:0044444	cytoplasmic part	6993	3	2,07	0.3424
GO:0005783	endoplasmic reticulum	1373	1	0,41	0.3457
GO:0032991	macromolecular complex	4222	2	1,25	0.3674
GO:0043227	membrane-bounded organelle	10552	4	3,13	0.3817
GO:0043229	intracellular organelle	10783	4	3,19	0.4071
GO:0043226	organelle	11394	4	3,38	0.4774
GO:0031090	organelle membrane	2592	1	0,77	0.5655
GO:0044425	membrane part	6170	2	1,83	0.6010
GO:0044424	intracellular part	12452	4	3,69	0.6068
GO:0005737	cytoplasm	9509	3	2,82	0.6175
GO:0005622	intracellular	12587	4	3,73	0.6237
GO:0012505	endomembrane system	3183	1	0,94	0.6483
GO:0043228	non-membrane-bounded organelle	3322	1	0,98	0.6658
GO:0043232	intracellular non-membrane-bounded organ...	3322	1	0,98	0.6658
GO:0043234	protein complex	3675	1	1,09	0.7071
GO:0016020	membrane	7804	2	2,31	0.7619
GO:0016021	integral component of membrane	5224	1	1,55	0.8430
GO:0031224	intrinsic component of membrane	5339	1	1,58	0.8506
