column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	749121	2	38	27954708	37.32	38	38	38	0	38	38	242348	144851	147960	212758	1204	749121
2	749121	2	38	27924605	37.28	38	38	38	0	38	38	234639	137219	152532	224639	92	749121
3	749121	2	38	27912812	37.26	38	38	38	0	38	38	225532	140799	153105	229664	21	749121
4	749121	2	38	27908924	37.26	38	38	38	0	38	38	224530	140843	158794	224937	17	749121
5	749121	2	38	27911848	37.26	38	38	38	0	38	38	229672	141568	153936	223927	18	749121
6	749121	2	38	27947978	37.31	38	38	38	0	38	38	226938	149660	154622	217683	218	749121
7	749121	2	38	27935820	37.29	38	38	38	0	38	38	226803	145279	151150	225886	3	749121
8	749121	2	38	27922114	37.27	38	38	38	0	38	38	226952	148840	147450	225877	2	749121
9	749121	2	38	27911686	37.26	38	38	38	0	38	38	224854	148180	148623	227460	4	749121
10	749121	2	38	27898760	37.24	38	38	38	0	38	38	227462	147598	149142	224811	108	749121
11	749121	2	38	27935059	37.29	38	38	38	0	38	38	226135	147559	149279	226143	5	749121
12	749121	2	38	27924983	37.28	38	38	38	0	38	38	226250	147753	148135	226978	5	749121
13	749121	2	38	27905678	37.25	38	38	38	0	38	38	226929	147091	147586	227514	1	749121
14	749121	2	38	27907661	37.25	38	38	38	0	38	38	226073	148176	147406	227464	2	749121
15	749121	2	38	27880503	37.22	38	38	38	0	38	38	226307	148257	146820	227737	0	749121
16	749121	2	38	27884159	37.22	38	38	38	0	38	38	225942	148817	148022	226336	4	749121
17	749121	2	38	27855335	37.18	38	38	38	0	38	38	225755	148416	148035	226914	1	749121
18	749121	2	38	27859381	37.19	38	38	38	0	38	38	224848	149041	148065	227161	6	749121
19	749121	2	38	27859944	37.19	37	38	38	1	36	38	224519	149487	148011	227097	7	749121
20	749121	2	38	27845003	37.17	37	38	38	1	36	38	224594	150318	148726	225465	18	749121
21	749121	2	38	27855317	37.18	37	38	38	1	36	38	223968	149745	149002	226402	4	749121
22	749121	2	38	27837437	37.16	37	38	38	1	36	38	223893	150744	149377	225095	12	749121
23	749121	2	38	27814025	37.13	37	38	38	1	36	38	224337	149892	149279	225608	5	749121
24	749121	2	38	27813773	37.13	37	38	38	1	36	38	223296	150732	149834	225253	6	749121
25	749121	2	38	27797564	37.11	37	38	38	1	36	38	223871	151301	150031	223891	27	749121
26	749121	2	38	27791470	37.10	37	38	38	1	36	38	223267	150707	150004	225088	55	749121
27	749121	2	38	27770341	37.07	37	38	38	1	36	38	222850	150843	150491	224872	65	749121
28	749121	2	38	27748061	37.04	37	38	38	1	36	38	223507	150390	150946	224213	65	749121
29	749121	2	38	27726588	37.01	37	38	38	1	36	38	223208	150750	151470	223551	142	749121
30	749121	2	38	27717646	37.00	37	38	38	1	36	38	222673	151198	150988	224115	147	749121
31	749121	2	38	27694478	36.97	37	38	38	1	36	38	222920	150993	151682	223125	401	749121
32	749121	2	38	27688456	36.96	37	38	38	1	36	38	222774	150564	151741	223868	174	749121
33	749121	2	38	27675423	36.94	37	38	38	1	36	38	222694	150694	151929	223617	187	749121
34	749121	2	38	27647775	36.91	37	38	38	1	36	38	223571	150637	152349	222400	164	749121
35	749121	2	38	27633755	36.89	37	38	38	1	36	38	222844	151465	151483	223140	189	749121
36	749121	2	38	27624327	36.88	37	38	38	1	36	38	222631	151065	151745	223471	209	749121
37	749121	2	38	27591597	36.83	37	38	38	1	36	38	223343	150463	152140	222963	212	749121
38	749121	2	38	27571502	36.81	37	38	38	1	36	38	221800	151791	152435	222925	170	749121
39	749121	2	38	27540682	36.76	37	38	38	1	36	38	221820	151688	151975	223519	119	749121
40	749121	2	38	27485295	36.69	37	38	38	1	36	38	222051	151977	152310	222571	212	749121
41	749121	2	38	27508363	36.72	37	38	38	1	36	38	223423	150692	152450	222435	121	749121
42	749121	2	38	27465577	36.66	37	38	38	1	36	38	222653	151817	153055	221517	79	749121
43	749121	2	38	27438553	36.63	37	38	38	1	36	38	222198	151363	152339	223075	146	749121
44	749121	2	38	27430142	36.62	37	38	38	1	36	38	221751	152129	152405	222702	134	749121
45	749121	2	38	27405214	36.58	37	38	38	1	36	38	222405	152022	151975	222563	156	749121
46	749121	2	38	27408855	36.59	37	38	38	1	36	38	222643	152066	152426	221881	105	749121
47	749121	2	38	27386442	36.56	36	38	38	2	33	38	222109	151597	152760	222552	103	749121
48	749121	2	38	27355918	36.52	36	38	38	2	33	38	222208	151745	152587	222424	157	749121
49	749121	2	38	27316788	36.47	36	38	38	2	33	38	221936	152253	152374	222441	117	749121
50	749121	2	38	27283574	36.42	36	38	38	2	33	38	222191	152489	152330	221971	140	749121
51	749121	2	38	27261644	36.39	36	38	38	2	33	38	222810	151573	152945	221579	214	749121
52	749121	2	38	27227890	36.35	36	38	38	2	33	38	222464	151801	152027	222609	220	749121
53	749121	2	38	27199727	36.31	36	38	38	2	33	38	223080	151923	151923	222057	138	749121
54	749121	2	38	27157590	36.25	36	38	38	2	33	38	221554	152764	152684	221931	188	749121
55	749121	2	38	27125627	36.21	36	38	38	2	33	38	222625	151994	152558	221740	204	749121
56	749121	2	38	27128416	36.21	36	38	38	2	33	38	222253	152828	152424	221500	116	749121
57	749121	2	38	27085355	36.16	36	38	38	2	33	38	222380	151945	152546	222151	99	749121
58	749121	2	38	27042185	36.10	36	38	38	2	33	38	222319	152103	152765	221788	146	749121
59	749121	2	38	27016704	36.06	36	38	38	2	33	38	222658	151975	152230	222093	165	749121
60	749121	2	38	26990695	36.03	36	38	38	2	33	38	222350	152467	152321	221792	191	749121
61	749121	2	38	26959131	35.99	36	38	38	2	33	38	221840	152543	153039	221518	181	749121
62	749121	2	38	26913085	35.93	36	38	38	2	33	38	222237	152601	152118	221961	204	749121
63	749121	2	38	26874396	35.87	36	37	38	2	33	38	221676	152718	151827	222695	205	749121
64	749121	2	38	26838849	35.83	36	37	38	2	33	38	221597	152241	152840	222244	199	749121
65	749121	2	38	26795758	35.77	36	37	38	2	33	38	221880	152873	152362	221835	171	749121
66	749121	2	38	26751536	35.71	36	37	38	2	33	38	221775	153220	152706	221262	158	749121
67	749121	2	38	26695507	35.64	36	37	38	2	33	38	222412	151995	152648	221881	185	749121
68	749121	2	38	26644346	35.57	36	37	38	2	33	38	222046	153010	152017	221852	196	749121
69	749121	2	38	26591905	35.50	36	37	38	2	33	38	221559	152910	152296	222071	285	749121
70	749121	2	38	26537727	35.43	36	37	38	2	33	38	222206	152679	152566	221442	228	749121
71	749121	2	38	26501652	35.38	36	37	38	2	33	38	222026	152796	153386	220651	262	749121
72	749121	2	38	26443622	35.30	35	37	38	3	31	38	221859	152160	152713	222201	188	749121
73	749121	2	38	26377763	35.21	35	37	38	3	31	38	221627	152627	152739	221901	227	749121
74	749121	2	38	26307094	35.12	35	37	38	3	31	38	222454	152777	152003	221668	219	749121
75	749121	2	38	26260148	35.05	35	37	38	3	31	38	222196	152328	151729	222701	167	749121
76	749121	2	38	26199775	34.97	35	36	38	3	31	38	222120	152052	153462	221350	137	749121
77	749121	2	38	26109414	34.85	35	36	38	3	31	38	221562	152808	153034	221501	216	749121
78	749121	2	38	26042128	34.76	35	36	38	3	31	38	222258	152433	152670	221589	171	749121
