ensembl_gene_id	external_gene_id	entrezgene	chromosome_name	start_position	end_position	strand
ENSG00000225044	RP11-204C23.1	NA	3	2004065	2029154	-1
ENSG00000223040	RN7SKP144	NA	3	2130617	2130895	-1
ENSG00000144619	CNTN4	152330	3	2140497	3099645	1
ENSG00000227588	CNTN4-AS2	100873976	3	2152093	2185925	-1
ENSG00000230398	AC026882.1	NA	3	2403942	2404422	1
ENSG00000225310	DNAJC19P4	NA	3	3026915	3027259	-1
ENSG00000237990	CNTN4-AS1	NA	3	3080717	3102829	-1
ENSG00000091181	IL5RA	3568	3	3111233	3168297	-1
ENSG00000253049	SNORA43	NA	3	3144597	3144699	1
ENSG00000072756	TRNT1	51095	3	3168600	3192563	1
ENSG00000113851	CRBN	51185	3	3190676	3221394	-1
ENSG00000271870	RP11-97C16.1	NA	3	3194626	3195119	1
ENSG00000223727	AC026188.1	NA	3	3292371	3668980	-1
ENSG00000223036	AC024158.1	NA	3	3688140	3688262	1
ENSG00000144455	SUMF1	285362	3	3742498	4508965	-1
ENSG00000175928	LRRN1	57633	3	3841121	3889387	1
