ensembl_gene_id	external_gene_id	entrezgene	chromosome_name	start_position	end_position	strand
ENSG00000223587	AY269186.1	NA	3	65431	66175	1
ENSG00000224918	AY269186.2	NA	3	95031	96029	-1
ENSG00000224318	CHL1-AS2	NA	3	237441	239024	-1
ENSG00000134121	CHL1	10752	3	238279	451090	1
ENSG00000252017	RNU6-1194P	NA	3	324372	324475	-1
ENSG00000231660	RPS8P6	NA	3	350397	351005	-1
ENSG00000234661	CHL1-AS1	101927193	3	405053	427478	-1
ENSG00000224957	AC090044.1	101927215	3	577914	887698	1
ENSG00000238075	AC087431.1	NA	3	659472	659997	-1
ENSG00000224239	AC090044.2	NA	3	898807	899774	1
ENSG00000235158	AC087430.1	NA	3	1049819	1054618	1
ENSG00000244169	RN7SL120P	NA	3	1107266	1107559	-1
ENSG00000134115	CNTN6	27255	3	1134260	1445901	1
ENSG00000232563	AC026214.2	NA	3	1435857	1436132	-1
ENSG00000184423	AC090043.1	NA	3	1637461	1637929	-1
ENSG00000214074	RPL23AP39	NA	3	1771754	1772158	1
ENSG00000214073	RPL21P17	NA	3	1947335	1947809	1
ENSG00000225044	RP11-204C23.1	NA	3	2004065	2029154	-1
ENSG00000223040	RN7SKP144	NA	3	2130617	2130895	-1
ENSG00000144619	CNTN4	152330	3	2140497	3099645	1
ENSG00000227588	CNTN4-AS2	100873976	3	2152093	2185925	-1
ENSG00000230398	AC026882.1	NA	3	2403942	2404422	1
ENSG00000225310	DNAJC19P4	NA	3	3026915	3027259	-1
ENSG00000237990	CNTN4-AS1	NA	3	3080717	3102829	-1
ENSG00000091181	IL5RA	3568	3	3111233	3168297	-1
ENSG00000253049	SNORA43	NA	3	3144597	3144699	1
ENSG00000072756	TRNT1	51095	3	3168600	3192563	1
ENSG00000113851	CRBN	51185	3	3190676	3221394	-1
ENSG00000271870	RP11-97C16.1	NA	3	3194626	3195119	1
ENSG00000223727	AC026188.1	NA	3	3292371	3668980	-1
ENSG00000223036	AC024158.1	NA	3	3688140	3688262	1
ENSG00000144455	SUMF1	285362	3	3742498	4508965	-1
ENSG00000175928	LRRN1	57633	3	3841121	3889387	1
ENSG00000229241	PNPT1P1	NA	3	4023665	4025979	-1
ENSG00000170364	SETMAR	6419	3	4344988	4359251	1
ENSG00000234325	MRPS10P2	NA	3	4456264	4456644	-1
ENSG00000231249	ITPR1-AS1	100996539	3	4532575	4534847	-1
ENSG00000150995	ITPR1	3708	3	4535032	4889524	1
